year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap5dl844212,ca,37,24984,silver,black,black/white auto sales,10200,9200,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Nissan,Murano,S,SUV,automatic,jn8az1mw6dw303046,ca,38,23629,white,beige,advantage rent a car/hertz,22800,18900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mn1dc619184,ca,45,19742,white,black,nissan-infiniti lt,21400,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a3xdc068443,ca,36,39556,silver,black,avis corporation,13250,12000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2013,Nissan,Murano,SL,SUV,automatic,jn8az1mu6dw209263,ca,44,14805,gray,black,nissan motor acceptance corporation,24100,25250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Quest,SV,Minivan,,jn8ae2kp7d9060276,ca,41,27948,gray,gray,nissan north america inc.,22300,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Toyota,Camry,L,Sedan,automatic,4t1bf1fk4du283826,ca,2,31300,silver,black,enterprise vehicle exchange / tra / rental / tulsa,13350,11200,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7dc829796,ca,44,14421,white,tan,nissan motor acceptance corporation,21300,20000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c51cc964387,ca,38,23208,gray,black,financial services remarketing (lease),47200,46000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,xdr 750i xdriv,,automatic,wbakc6c5xcc395623,ca,4,50790,gray,black,financial services remarketing (lease),33900,33500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71530,ca,38,28925,white,black,financial services remarketing (lease),48500,50500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f43cc007761,ca,39,43127,black,black,ahfc/honda lease trust/hvt  inc. eot,16450,17800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,,wbalz3c59cdl71275,ca,46,16381,gray,black,financial services remarketing (lease),48200,46500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c53cc964410,ca,33,19785,beige,gray,financial services remarketing (lease),49500,46000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,wauggafc1cn055417,ca,35,36541,—,beige,high bid trading co inc,29800,29000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c59cdv77170,ca,47,34941,black,black,financial services remarketing (lease),42600,42500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdx02704,ca,47,45443,black,gray,financial services remarketing (lease),29500,30500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl73048,ca,48,20904,gray,black,financial services remarketing (lease),50100,49000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdx04560,ca,5,54744,black,black,financial services remarketing (lease),27600,29250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c52cc528799,ca,36,24452,white,brown,l m auto wholesale,44800,44000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c54cc613856,ca,47,17189,black,—,financial services remarketing (lease),40100,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c51cds99089,ca,43,35818,black,black,financial services remarketing (lease),35600,35250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335is,Convertible,automatic,wbadx1c56ce570700,ca,38,14149,black,black,financial services remarketing (lease),39900,40500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c5xce729000,ca,31,27675,blue,gray,financial services remarketing (lease),28200,25750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl70913,ca,36,24132,black,—,financial services remarketing (lease),49700,49500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,135i,Coupe,automatic,wbauc9c56cvm12464,ca,41,16288,blue,—,financial services remarketing (lease),26900,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Coupe,automatic,wbalw3c56cc891870,ca,44,39628,black,black,financial services remarketing (lease),42200,42000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca002640,ca,41,28395,gray,black,ahfc/honda lease trust/hvt  inc. eot,19200,20200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c56cc809633,ca,22,28170,gray,black,financial services remarketing (lease),35100,47000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c53cc613637,ca,33,14769,gray,black,financial services remarketing (lease),39800,34750,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72964,ca,42,34780,black,tan,financial services remarketing (lease),47000,47000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c58ce728833,ca,37,35711,blue,beige,walters auto sales/service inc,27700,25500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c54cc964089,ca,37,48424,black,black,financial services remarketing (lease),42300,43000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca027165,ca,44,19669,black,gray,ahfc/honda lease trust/hvt  inc. eot,19850,21600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c56cdw24474,ca,48,19782,gray,—,financial services remarketing (lease),32000,31000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c53cc576943,ca,36,32509,white,black,financial services remarketing (lease),40000,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c50cc963182,ca,37,31762,black,black,financial services remarketing (lease),45000,45000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i xDrive,Sedan,automatic,wbaxh5c54cdw07718,ca,21,29808,black,black,financial services remarketing (lease),30500,26500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2012,Audi,S4,Premium Plus quattro,Sedan,automatic,waukgafl7ca117999,ca,28,13044,black,black,fratelli investment group,37800,35250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,A7,Premium quattro,Sedan,automatic,wauygafc0cn087585,ca,33,36671,black,black,south bay hyundai,39300,40500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,automatic,wbakg7c52ce802266,ca,45,37632,gray,tan,financial services remarketing (lease),30200,32000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcdw24820,ca,48,27979,gray,black,financial services remarketing (lease),33100,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c58cdw24170,ca,43,22371,black,black,financial services remarketing (lease),34300,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdx03875,ca,41,32960,white,tan,financial services remarketing (lease),31000,29250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c59cc618669,ca,41,46534,white,black,financial services remarketing (lease),42300,41500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c59cf259549,ca,45,29157,brown,black,financial services remarketing (lease),24600,24750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdx02654,ca,44,24506,blue,—,financial services remarketing (lease),33800,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,automatic,waulfafr6ca037394,ca,38,32737,white,black,porsche of downtown la,25000,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdw24139,ca,42,43112,gray,black,financial services remarketing (lease),28900,29000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdw24979,ca,44,53230,white,—,financial services remarketing (lease),25500,25750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f26ca035583,ca,37,21443,silver,black,ahfc/honda lease trust/hvt  inc.,19700,20900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c57cdw24497,ca,43,27181,black,black,financial services remarketing (lease),33300,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,automatic,wbakg7c50ce802444,ca,45,23777,gray,—,financial services remarketing (lease),31800,33250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c59cc808346,ca,27,33760,gray,black,financial services remarketing (lease),34200,32750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c59cvh84475,ca,44,28509,blue,brown,financial services remarketing (lease),23300,22750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f8xcc014175,ca,37,31595,white,black,ahfc/honda lease trust/hvt  inc. eot,18100,18900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c56ce729432,ca,48,14910,gray,gray,financial services remarketing (lease),30700,31500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c58ce728380,ca,42,31388,gray,black,financial services remarketing (lease),28300,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f87cc007412,ca,45,37284,red,black,ahfc/honda lease trust/hvt  inc. eot,17700,18400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c54ccy37992,ca,49,53016,white,gray,financial services remarketing (lease),31300,34250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c56cc963431,ca,34,24739,white,gray,financial services remarketing (lease),47000,46750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce729732,ca,36,32456,blue,off-white,financial services remarketing (lease),27500,26750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c52ce729136,ca,35,35000,silver,off-white,financial services remarketing (lease),27800,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Convertible,automatic,wbadx7c54ce744332,ca,43,37509,black,—,financial services remarketing (lease),29800,31500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c59cc448049,ca,48,39825,—,gray,financial services remarketing (lease),58100,58500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c59cds99963,ca,39,36156,blue,gray,financial services remarketing (lease),34800,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c59cdl72460,ca,38,22845,white,—,financial services remarketing (lease),50000,52500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc575577,ca,39,24576,black,black,financial services remarketing (lease),41800,40500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca004980,ca,42,32354,black,beige,ahfc/honda lease trust/hvt  inc. eot,18900,20300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c58cc962863,ca,49,35093,blue,tan,financial services remarketing (lease),45200,44500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c58cc618677,ca,41,51983,black,—,financial services remarketing (lease),41400,40000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f48cc010509,ca,42,36621,gray,black,ahfc/honda lease trust/hvt  inc. eot,16800,18200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Coupe,manual,wbaup9c54cvf46588,ca,29,37168,blue,gray,financial services remarketing (lease),18100,18000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc576244,ca,36,18602,white,gray,financial services remarketing (lease),43200,42000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,,5j8tb2h54ca000490,ca,4,35348,gray,beige,ahfc/honda lease trust/hvt  inc. eot,22700,22000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c50ce784530,ca,35,25240,black,black,financial services remarketing (lease),42000,42500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c5xcfj88779,ca,44,19411,gray,—,financial services remarketing (lease),26600,27250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,550i,Sedan,automatic,wbafr9c5xcdv58413,ca,47,38066,black,black,financial services remarketing (lease),40200,42500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl71784,ca,4,28606,gray,black,financial services remarketing (lease),48600,49500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c54ce755722,ca,47,26086,black,black,financial services remarketing (lease),22300,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c56cc964045,ca,49,17647,gray,black,financial services remarketing (lease),49000,49000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c56cc618502,ca,48,43505,gray,black,financial services remarketing (lease),43000,44500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i xDrive,Convertible,automatic,wbalz5c56cc619497,ca,33,32289,gray,black,financial services remarketing (lease),47000,48000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl70821,ca,44,53404,white,—,financial services remarketing (lease),43500,43500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72186,ca,45,21262,white,—,financial services remarketing (lease),50400,52250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c51ccy37982,ca,4,40183,gray,blue,financial services remarketing (lease),34000,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c57cvr00222,ca,35,24380,black,black,financial services remarketing (lease),24100,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Coupe,S,Hatchback,manual,wmwsx3c58ct408212,ca,42,51347,gray,black,mckenna audi/mckenna bmw,13700,13750,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,automatic,waulfafr6ca006081,ca,41,33856,white,black,aaero sweet company,24700,27000,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcc594269,ca,34,31616,gray,—,financial services remarketing (lease),29700,28000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,,wba3c1c50ca696789,ca,2,25355,white,beige,gm financial,25300,14750,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdw85315,ca,42,30445,black,black,financial services remarketing (lease),29900,28500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c56ce784810,ca,47,20850,—,black,financial services remarketing (lease),42800,43500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c52cds99120,ca,46,46943,white,black,financial services remarketing (lease),33900,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,manual,wbakg7c55ce263223,ca,42,27312,gray,gray,financial services remarketing (lease),31300,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c53ce729632,ca,49,33355,gray,black,financial services remarketing (lease),28000,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c52cc807958,ca,43,34966,white,black,the car exchange,34000,32500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c5xcf346666,ca,41,36617,black,black,financial services remarketing (lease),23900,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72740,ca,44,25060,white,—,financial services remarketing (lease),49400,51500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c54cvh84268,ca,46,15311,white,—,financial services remarketing (lease),25000,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,manual,wbakg7c55ce263156,ca,47,16827,black,beige,financial services remarketing (lease),32600,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c52cdl70551,ca,49,11868,gray,—,financial services remarketing (lease),49200,47000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c59ccy37616,ca,35,42482,black,black,financial services remarketing (lease),33500,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl70649,ca,36,35458,black,black,financial services remarketing (lease),45100,44250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c5xce784602,ca,42,35920,silver,black,high bid trading co inc,40000,41000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c55cc576684,ca,44,30313,black,gray,financial services remarketing (lease),40500,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f82cc009116,ca,39,43807,black,black,ahfc/honda lease trust/hvt  inc. eot,17300,17900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f59ca015354,ca,47,50229,black,black,ahfc/honda lease trust/hvt  inc. eot,19700,20500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c50cc964249,ca,4,33155,gray,gray,financial services remarketing (lease),46100,45500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c57cc808572,ca,39,38866,gray,black,financial services remarketing (lease),33700,34000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c58ce755738,ca,28,20163,black,black,financial services remarketing (lease),23000,20000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,automatic,5j8tb2h51ca002472,ca,37,30901,white,gray,lexus of thousand oaks,23200,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,,wbalz3c53cdl72437,ca,46,42686,gray,black,financial services remarketing (lease),43300,41100,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f47cc007861,ca,42,13424,black,beige,ahfc/honda lease trust/hvt  inc. eot,17950,19600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c50cc808946,ca,38,52387,gray,black,financial services remarketing (lease),31300,32500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755978,ca,27,18057,white,black,financial services remarketing (lease),23000,22250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728676,ca,28,13661,black,—,financial services remarketing (lease),29400,28250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca015137,ca,24,35604,gray,black,ahfc/honda lease trust/hvt  inc. eot,18700,16800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c59ce728503,ca,49,27272,gray,tan,financial services remarketing (lease),28900,31750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c58cc965083,ca,46,30917,gray,gray,financial services remarketing (lease),45200,46000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl72602,ca,49,26704,silver,tan,financial services remarketing (lease),48700,49250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c58cc808323,ca,46,41539,white,black,financial services remarketing (lease),32800,36750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,ZDX,Technology Package,Hatchback,automatic,2hnyb1h40ch500373,ca,36,33680,black,black,ahfc/honda lease trust/hvt  inc. eot,28200,26600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c51ce728303,ca,29,37032,black,black,financial services remarketing (lease),26300,25000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c54cf341740,ca,48,23936,white,—,financial services remarketing (lease),26900,28000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfaflxcn004222,ca,38,15193,black,black,high bid trading co inc,22900,24250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c54cvh84416,ca,43,33965,blue,—,financial services remarketing (lease),23200,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f80cc007347,ca,41,30406,gray,black,ahfc/honda lease trust/hvt  inc. eot,18150,19100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c50cc808722,ca,44,54898,white,tan,financial services remarketing (lease),30600,31000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdy30327,ca,35,62345,gray,black,walters auto sales/service inc,26000,24750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335is,Convertible,automatic,wbadx1c57ce570754,ca,36,48143,black,black,financial services remarketing (lease),33800,33000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c59cdx05260,ca,38,35294,white,tan,l m auto wholesale,31600,28000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl73387,ca,34,44520,black,black,financial services remarketing (lease),40900,40500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdx03584,ca,38,59814,white,black,financial services remarketing (lease),26500,28000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71009,ca,34,26807,black,—,financial services remarketing (lease),48700,47000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,waubgafc0cn029580,ca,36,13936,black,black,ars/executive car leasing co,33900,33100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c50cc618639,ca,37,45540,blue,beige,high bid trading co inc,42800,40750,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f58ca025292,ca,34,28151,black,black,ahfc/honda lease trust/hvt  inc.,21900,21000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c5xce729224,ca,43,29297,white,black,financial services remarketing (lease),28600,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755835,ca,29,61573,white,—,financial services remarketing (lease),20000,19000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c51cc528390,ca,42,32341,gray,black,financial services remarketing (lease),43200,43500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c50cds99049,ca,41,17676,blue,black,financial services remarketing (lease),38200,36500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f49cc003956,ca,19,27906,gray,gray,ag leaseplan,17150,14000,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f64cc008869,ca,33,10225,white,tan,ahfc/honda lease trust/hvt  inc. eot,20500,19400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
